frame,id,x1,y1,x2,y2,type
51,4,281.17,386.96,26.14,84.01,person
51,16,821.12,304.4,10.11,34.04,person
52,1,304.05,393.92,22.72,79.69,person
52,4,281.19,387,26.13,84.02,person
52,16,821.12,304.41,10.11,34.04,person
53,1,303.92,394.06,22.78,79.39,person
53,4,281.1,386.79,26.11,84.18,person
53,16,821.12,304.4,10.12,34.08,person
54,1,303.52,393.73,22.76,79.59,person
54,4,281.07,386.69,26.02,84.16,person
54,16,821.14,304.42,10.11,34.07,person
55,1,303.45,393.58,22.8,79.79,person
55,4,281.13,386.66,25.9,84.01,person
55,16,821.15,304.46,10.09,34.03,person
56,1,303.41,393.51,22.81,79.86,person
56,4,281.17,386.66,25.81,83.95,person
56,16,821.15,304.47,10.08,34.02,person
57,1,303.82,393.59,22.41,77.4,person
57,4,281.37,386.62,25.61,83.51,person
57,16,821.17,304.47,10.08,34.01,person
58,1,304.13,393.95,22.17,75.41,person
58,4,281.51,386.67,25.55,83.46,person
58,16,821.18,304.47,10.07,34.01,person
59,1,303.77,394.2,21.81,74.11,person
59,4,281.74,386.81,25.41,83.08,person
59,16,821.38,305.49,9.79,33.32,person
60,1,303.78,394.13,21.19,72.2,person
60,4,281.78,386.87,25.47,83.34,person
60,16,821.5,305.89,9.65,33.07,person
61,1,304.33,394.55,19.89,66.91,person
61,4,281.77,386.94,25.38,83.23,person
61,16,821.56,306.02,9.57,32.99,person
62,1,304.46,394.73,19.57,65.07,person
62,4,281.78,386.96,25.31,83.16,person
62,16,821.6,306.06,9.5,32.97,person
63,1,305.42,395.07,17.08,54.65,person
63,4,281.71,387.28,24.65,81.04,person
63,16,821.42,305.31,9.7,33.52,person
64,1,306.69,394.95,14.75,44.73,person
64,4,282.13,387.94,23.75,78.1,person
64,16,821.33,305.08,9.79,33.69,person
65,1,307.3,394.98,13.71,39.27,person
65,4,282.68,388.04,23.14,76.13,person
65,16,821.28,304.98,9.85,33.77,person
66,1,307.27,394.97,13.62,37.06,person
66,4,284.24,387.38,20.32,65.68,person
66,16,821.18,304.88,9.91,33.87,person
67,1,306.87,394.89,14.11,36.53,person
67,4,284.87,387.48,18.02,56.27,person
67,16,821.14,304.83,9.96,33.92,person
68,1,306.53,394.87,14.7,36.47,person
68,4,284.94,387.5,17.54,53.15,person
68,16,821.11,304.82,9.99,33.94,person
69,1,306.34,394.95,14.98,35.56,person
69,4,285.03,387.42,17.08,49.98,person
69,16,821.1,304.81,10.02,33.96,person
70,1,306.06,394.94,15.47,35.28,person
70,4,284.9,387.34,17.29,49.09,person
70,16,821.09,304.8,10.05,33.97,person
71,1,305.79,395.05,15.95,35.05,person
71,4,284.76,387.31,17.44,48.17,person
71,16,821.09,304.8,10.07,33.97,person
72,1,305.53,395.15,16.36,34.78,person
72,4,284.65,387.32,17.66,47.54,person
72,16,821.08,304.8,10.09,33.98,person
73,1,305.28,395.19,16.83,34.75,person
73,4,284.47,387.32,18.02,47.42,person
73,16,821.08,304.79,10.1,33.98,person
73,47,0.52,405.82,21.12,41.05,person
74,1,305.11,395.23,17.41,35.09,person
74,4,284.19,387.36,18.34,47.35,person
74,16,821.07,304.82,10.1,33.95,person
74,47,0.52,405.94,21.1,41,person
75,1,304.74,395.29,18.22,36.02,person
75,4,283.95,387.24,18.92,48.03,person
75,16,821.06,304.82,10.12,33.95,person
76,1,304.33,395.32,19.2,37.38,person
76,4,283.76,387.19,19.39,48.53,person
76,16,821.06,304.84,10.12,33.94,person
76,47,0.15,405.51,21.83,42.51,person
77,1,303.62,395.19,20.39,39.13,person
77,4,283.54,387.19,19.91,49.21,person
77,16,820.94,304.72,10.17,34.05,person
77,47,0.06,405.49,21.98,42.8,person
78,1,302.88,395.45,21.53,40.9,person
78,4,283.7,387.2,20.54,50.08,person
78,16,820.93,304.68,10.19,34.06,person
79,1,302.53,395.54,22.09,41.58,person
79,4,283.68,387.21,20.93,50.42,person
79,16,820.92,304.67,10.21,34.06,person
80,1,300.83,396.22,23.75,44.19,person
80,4,283.02,387.46,22.31,53.53,person
80,16,820.89,304.64,10.23,34.1,person
81,1,299.71,396.38,25.47,47.3,person
81,4,282.47,387.65,23.32,55.99,person
81,16,820.94,304.66,10.26,34.16,person
82,1,299.26,396.45,26.14,48.47,person
82,4,282.24,387.72,23.71,56.94,person
82,16,820.96,304.66,10.28,34.18,person
83,1,295.86,396.04,35.66,68.22,person
83,4,281.23,387.62,26.01,63.53,person
83,16,820.83,304.56,10.37,34.35,person
84,1,295.05,395.96,38.22,75.27,person
84,4,281,387.57,26.61,66.02,person
84,16,820.77,304.53,10.42,34.42,person
85,1,294.97,395.97,38.8,78.68,person
85,4,279.9,387.45,30.16,76.77,person
85,16,820.72,304.47,10.46,34.49,person
86,1,295.24,396.03,38.37,79.94,person
86,4,279.4,387.59,31.14,81.02,person
86,16,820.7,304.46,10.47,34.5,person
87,1,295.67,396.37,37.36,79.8,person
87,4,278.99,387.46,31.39,83.13,person
87,16,820.69,304.45,10.48,34.5,person
88,1,296.11,396.46,36.42,79.57,person
88,4,278.77,387.28,31.27,84.08,person
88,16,820.69,304.44,10.5,34.51,person
89,1,296.51,396.53,35.57,79.36,person
89,4,278.86,387.32,30.9,84.25,person
89,16,820.69,304.43,10.51,34.52,person
90,1,296.91,396.81,34.72,79.02,person
90,4,279.19,387.4,30.35,83.95,person
90,16,820.68,304.68,10.46,34.28,person
91,1,297.33,397.02,33.96,78.66,person
91,4,279.47,387.38,29.9,83.8,person
91,16,820.62,304.83,10.42,34.1,person
92,1,297.66,397.13,33.31,78.43,person
92,4,279.69,387.39,29.5,83.67,person
92,16,820.59,304.88,10.42,34.03,person
93,1,298.11,397.05,32.74,78.33,person
93,4,279.86,387.3,29.2,83.74,person
93,16,820.54,304.91,10.44,33.92,person
94,1,298.43,397.02,32.22,78.25,person
94,4,280.01,387.27,28.91,83.72,person
94,16,820.51,304.92,10.47,33.88,person
95,1,298.88,397.42,31.59,77.78,person
95,4,280.22,387.16,28.71,83.86,person
95,16,820.45,305.08,10.49,33.75,person
96,1,299.21,397.43,31.15,77.67,person
96,4,280.31,387.12,28.45,83.83,person
96,16,820.4,305.14,10.54,33.71,person
97,1,299.44,397.47,30.76,77.55,person
97,4,280.48,387.12,28.23,83.77,person
97,16,820.37,305.17,10.58,33.69,person
98,1,299.62,397.48,30.42,77.47,person
98,4,280.6,387.12,28.04,83.72,person
98,16,820.35,305.18,10.63,33.68,person
99,1,299.79,397.69,30.04,77.1,person
99,4,280.55,386.95,27.87,83.81,person
99,16,820.33,305.18,10.67,33.68,person
100,1,299.92,397.76,29.77,76.94,person
100,4,280.58,386.89,27.69,83.82,person
100,16,820.31,305.18,10.71,33.68,person
101,1,300.17,397.55,29.62,77.08,person
101,4,280.57,386.8,27.55,83.94,person
101,16,820.28,305.18,10.74,33.68,person
102,1,300.56,397.64,29.37,76.88,person
102,4,280.75,386.76,27.42,84,person
102,16,820.27,305.19,10.77,33.69,person
103,1,300.92,397.57,29.22,76.87,person
103,4,280.92,386.76,27.33,84.1,person
103,16,820.25,305.2,10.8,33.69,person
104,1,301.1,397.55,29.08,76.86,person
104,4,281.03,386.76,27.21,84.12,person
104,16,820.24,305.2,10.82,33.69,person
105,1,301.35,397.38,28.95,77.01,person
105,4,280.93,386.72,27.06,84.07,person
105,16,820.25,305.24,10.85,33.67,person
106,1,301.47,397.34,28.77,76.94,person
106,4,280.97,386.72,26.92,84.04,person
106,16,820.24,305.25,10.87,33.67,person
107,1,301.4,396.96,28.75,77.37,person
107,4,280.82,386.7,26.78,84.04,person
107,16,820.29,305.37,10.87,33.58,person
108,1,301.38,396.55,28.75,77.74,person
108,4,280.77,386.69,26.65,84.03,person
108,16,820.31,305.42,10.88,33.53,person
109,1,301.47,396.44,28.63,77.78,person
109,4,280.82,386.87,26.46,83.84,person
109,16,820.31,305.45,10.89,33.5,person
110,1,301.55,396.41,28.51,77.78,person
110,4,280.87,386.93,26.32,83.76,person
110,16,820.31,305.46,10.9,33.49,person
111,1,301.96,397.31,28.05,76.75,person
111,4,280.95,387.18,26.1,83.36,person
111,16,820.3,305.49,10.91,33.46,person
112,1,302.18,397.66,27.84,76.34,person
112,4,281.01,387.27,25.96,83.21,person
112,16,820.29,305.49,10.92,33.45,person
113,1,301.99,397.6,27.33,74.77,person
113,4,281.13,387.45,25.79,82.91,person
113,16,820.26,305.46,10.94,33.48,person
114,1,301.96,397.64,27.17,74.12,person
114,4,281.19,387.5,25.68,82.82,person
114,16,820.24,305.46,10.99,33.52,person
115,1,301.92,397.61,27.15,73.94,person
115,4,281.19,387.46,25.65,82.88,person
115,16,820.22,305.47,11.02,33.53,person
116,1,302.67,397.22,27.81,75.86,person
116,4,281.68,388.01,25.24,82.1,person
116,16,820.2,305.46,11.05,33.55,person
117,1,302.94,397.07,28.04,76.6,person
117,4,281.9,388.23,25.01,81.79,person
117,16,820.19,305.45,11.08,33.55,person
118,1,303.66,396.3,28.3,77.7,person
118,4,281.92,388.08,25.36,82.64,person
118,16,820.11,305.39,11.13,33.67,person
119,1,304.06,395.58,28.47,78.56,person
119,4,281.98,388.01,25.58,83.03,person
119,16,820.08,305.36,11.16,33.72,person
120,1,304.34,394.77,28.66,79.52,person
120,4,282.12,388.02,25.77,83.21,person
120,16,820.01,305.38,11.15,33.69,person
121,1,304.47,394.48,28.64,79.85,person
121,4,282.14,388.04,25.9,83.26,person
121,16,819.99,305.39,11.14,33.67,person
122,1,304.99,395.2,28.2,78.87,person
122,4,282.13,388.09,25.99,83.18,person
122,16,819.98,305.43,11.12,33.62,person
123,1,305.19,395.49,27.98,78.48,person
123,4,282.1,388.1,26.08,83.16,person
123,16,819.97,305.45,11.11,33.61,person
124,1,305.57,395.72,27.77,77.98,person
124,4,282.04,387.6,26.33,83.66,person
124,16,819.98,305.45,11.12,33.63,person
125,1,305.96,395.65,27.6,77.64,person
125,4,281.91,387.27,26.5,83.91,person
125,16,819.97,305.44,11.13,33.65,person
126,1,306.11,395.62,27.5,77.5,person
126,4,281.83,387.16,26.61,84,person
126,16,819.97,305.44,11.13,33.66,person
127,1,306.09,395.58,27.68,78.03,person
127,4,281.63,387.15,26.69,84.02,person
127,16,819.96,305.44,11.14,33.69,person
128,1,306.09,395.53,27.75,78.24,person
128,4,281.54,387.16,26.76,84.05,person
128,16,819.95,305.44,11.14,33.69,person
129,1,306.6,394.9,27.32,77.28,person
129,4,281.42,387.35,26.67,83.65,person
129,16,819.98,305.39,11.15,33.74,person
130,1,306.55,395.6,27.62,78.13,person
130,4,281.26,387.58,26.62,83.5,person
130,16,819.78,305.3,11.09,33.72,person
131,1,306.53,396.03,27.52,77.75,person
131,4,281.14,387.61,26.66,83.59,person
131,16,819.72,305.28,11.03,33.7,person
132,1,306.52,396.17,27.51,77.6,person
132,4,281.1,387.62,26.68,83.63,person
132,16,819.71,305.28,10.99,33.7,person
133,1,306.47,396.25,27.29,76.97,person
133,4,281.13,387.7,26.71,83.63,person
133,16,819.72,305.29,10.94,33.68,person
134,1,306.45,396.27,27.21,76.76,person
134,4,281.16,387.73,26.74,83.66,person
134,16,819.74,305.28,10.9,33.69,person
135,1,306.69,396.75,26.98,76.1,person
135,4,281.16,387.97,26.63,83.29,person
135,16,819.74,305.39,10.84,33.63,person
136,1,306.4,396.74,27.06,76.34,person
136,4,281.15,387.93,26.61,83.21,person
136,16,819.75,305.44,10.79,33.6,person
137,1,306.29,396.71,27.1,76.49,person
137,4,281.18,387.93,26.6,83.17,person
137,16,819.76,305.47,10.76,33.59,person
137,63,846.88,308.57,8.08,29.63,person
138,1,305.5,396.43,27.25,76.96,person
138,4,281.24,387.95,26.54,82.96,person
138,16,819.83,305.48,10.73,33.58,person
138,63,846.77,308.35,8.17,29.96,person
139,1,305.22,396.3,27.29,77.11,person
139,4,281.26,387.96,26.52,82.88,person
139,16,819.86,305.46,10.72,33.59,person
139,63,846.7,308.29,8.2,30.05,person
140,1,305.66,396.65,26.96,76.02,person
140,4,281.42,387.88,26.51,82.98,person
140,16,819.64,305.49,10.69,33.53,person
140,63,846.52,308.17,8.26,30.17,person
141,1,305.04,396.06,27.32,77.01,person
141,4,281.49,387.85,26.5,83.07,person
141,16,819.56,305.47,10.68,33.54,person
141,63,846.53,308.16,8.34,30.4,person
142,1,305.05,396.19,27.59,77.82,person
142,4,281.32,387.7,26.5,83.22,person
142,16,819.45,305.47,10.68,33.55,person
142,63,846.67,308.27,8.38,30.42,person
143,1,304.99,396.15,27.73,78.2,person
143,4,281.25,387.61,26.48,83.31,person
143,16,819.41,305.47,10.68,33.54,person
143,63,847.01,308.4,8.37,30.32,person
144,1,305.17,395.75,27.51,77.23,person
144,4,281.16,387.57,26.42,83.25,person
144,16,819.44,305.19,10.57,33.34,person
144,63,847.01,308.37,8.4,30.45,person
145,1,305.21,395.6,27.49,76.83,person
145,4,281.08,387.45,26.41,83.33,person
145,16,819.46,305.09,10.52,33.31,person
146,1,305.13,395.73,27.44,76.3,person
146,4,281.03,387.46,26.37,83.33,person
146,16,819.47,305.07,10.48,33.29,person
147,1,305.12,395.76,27.47,76.02,person
147,4,281.02,387.37,26.38,83.46,person
147,16,819.47,305.02,10.39,33.19,person
148,1,305,395.69,27.54,75.94,person
148,4,281.01,387.2,26.4,83.63,person
148,16,819.48,305,10.33,33.17,person
149,1,304.89,395.58,27.65,76.01,person
149,4,281.03,387.15,26.39,83.68,person
149,16,819.5,304.99,10.28,33.17,person
150,1,304.55,395.16,28.06,76.89,person
150,4,281.01,387.27,26.39,83.71,person
150,16,819.52,304.97,10.23,33.14,person
151,1,304.43,394.9,28.35,77.49,person
151,4,280.95,387.32,26.37,83.71,person
151,16,819.45,304.95,10.15,33.01,person
152,1,304.65,394.76,28.66,78.07,person
152,4,281,387.32,26.39,83.82,person
152,16,819.44,304.96,10.09,32.92,person
153,1,305.49,394.63,28.78,78.22,person
153,4,281.09,387.47,26.38,83.71,person
153,16,819.45,304.96,10.06,32.89,person
154,1,306.04,394.77,28.44,77.9,person
154,4,281.08,387.4,26.43,83.83,person
154,16,819.46,304.98,10.03,32.85,person
155,1,306.2,394.81,28.62,78.21,person
155,4,281.03,387.27,26.48,83.98,person
155,16,819.48,304.99,10,32.8,person
156,1,306.23,394.82,28.72,78.31,person
156,4,281,387.22,26.5,84.04,person
156,16,819.49,305,9.98,32.78,person
157,1,306.35,394.6,28.64,78.29,person
157,4,280.9,387.04,26.59,84.16,person
157,16,819.5,304.98,9.98,32.81,person
158,1,306.43,394.45,28.51,78.37,person
158,4,280.83,386.88,26.71,84.39,person
158,16,819.51,304.96,9.97,32.82,person
159,1,306.75,394.3,28.16,78.53,person
159,4,280.82,386.88,26.77,84.43,person
159,16,819.52,304.97,9.95,32.8,person
160,1,306.98,394.25,27.79,78.56,person
160,4,280.8,386.88,26.82,84.45,person
160,16,819.52,304.97,9.94,32.8,person
161,1,307.27,394.27,27.67,78.85,person
161,4,280.77,386.87,26.86,84.44,person
161,16,819.53,304.97,9.92,32.77,person
162,1,307.43,394.28,27.49,78.94,person
162,4,280.73,386.86,26.9,84.42,person
162,16,819.54,304.98,9.91,32.76,person
163,1,307.67,393.87,27.39,79.31,person
163,4,280.77,386.88,26.94,84.43,person
163,16,819.58,305.02,9.86,32.61,person
164,1,307.93,393.8,27.15,79.23,person
164,4,280.82,386.88,26.99,84.46,person
164,16,819.6,305.05,9.83,32.55,person
165,1,308.24,393.52,27,79.45,person
165,4,280.86,386.83,27.06,84.57,person
165,16,819.63,305.07,9.76,32.39,person
166,1,308.42,393.41,26.82,79.53,person
166,4,280.87,386.81,27.11,84.61,person
166,16,819.66,305.08,9.72,32.33,person
167,1,308.61,393.32,26.84,79.84,person
167,4,280.72,386.87,27.06,84.5,person
167,16,819.66,305.09,9.72,32.39,person
168,1,308.69,393.26,26.82,79.99,person
168,4,280.68,386.88,27.04,84.47,person
168,16,819.67,305.09,9.72,32.42,person
169,1,308.59,392.99,26.94,80.34,person
169,4,280.53,386.98,26.96,84.38,person
169,16,819.69,305.08,9.7,32.42,person
170,1,308.53,392.9,27,80.46,person
170,4,280.49,387.04,26.89,84.33,person
170,16,819.7,305.08,9.68,32.43,person
171,1,308.53,392.84,27.01,80.44,person
171,4,280.43,387.13,26.83,84.25,person
171,16,819.78,305.12,9.65,32.34,person
172,1,308.53,392.81,27.02,80.44,person
172,4,280.42,387.16,26.78,84.22,person
172,16,819.81,305.14,9.65,32.31,person
173,1,308.52,392.81,27.02,80.43,person
173,4,280.42,387.17,26.74,84.2,person
173,16,819.82,305.15,9.64,32.3,person
174,1,308.79,392.52,27.04,80.65,person
174,4,280.53,387.13,26.71,84.17,person
174,16,819.82,305.12,9.66,32.34,person
175,1,308.89,392.42,27.01,80.71,person
175,4,280.58,387.11,26.69,84.14,person
175,16,819.83,305.12,9.66,32.36,person
176,1,308.84,392.76,26.87,80.46,person
176,4,280.62,387.11,26.66,84.08,person
176,16,819.82,305.11,9.67,32.42,person
177,1,308.84,392.9,26.78,80.35,person
177,4,280.64,387.11,26.64,84.05,person
177,16,819.82,305.1,9.68,32.45,person
178,1,309.31,393.36,26.51,79.85,person
178,4,280.76,387.19,26.65,83.93,person
178,16,819.86,304.74,9.65,32.22,person
179,1,309.52,393.5,26.36,79.69,person
179,4,280.79,387.24,26.67,83.87,person
179,16,819.87,304.61,9.67,32.14,person
180,1,309.94,393.27,26.22,79.87,person
180,4,280.82,386.84,26.85,84.31,person
180,16,819.86,304.55,9.7,32.12,person
181,1,310.12,393.08,26.07,80.02,person
181,4,280.78,386.8,26.89,84.32,person
181,16,819.84,304.53,9.74,32.11,person
182,1,310.04,393.09,25.92,80.04,person
182,4,280.68,386.87,26.89,84.18,person
182,16,819.81,304.54,9.79,32.17,person
183,1,309.92,393.21,25.76,79.95,person
183,4,280.63,387.06,26.86,83.93,person
183,16,819.84,304.87,9.78,32.12,person
184,1,309.91,393.25,25.65,79.96,person
184,4,280.59,387.13,26.87,83.85,person
184,16,819.85,305,9.77,32.1,person
185,1,310.32,393.12,25.53,80.05,person
185,4,280.67,387.01,26.95,83.92,person
185,16,819.84,305.04,9.78,32.14,person
186,1,310.77,393.07,25.44,80.13,person
186,4,280.67,386.72,27.12,84.21,person
186,16,819.84,305.08,9.76,32.1,person
187,1,311.02,393.09,25.34,80.16,person
187,4,280.66,386.65,27.21,84.28,person
187,16,819.84,305.1,9.75,32.08,person
188,1,311.77,393.13,25.22,80.35,person
188,4,280.7,386.7,27.26,84.15,person
188,16,819.84,305.1,9.75,32.08,person
189,1,312.08,393.13,25.07,80.43,person
189,4,280.69,386.73,27.33,84.09,person
189,16,819.85,305.1,9.75,32.09,person
190,1,311.6,393.86,24.62,79.49,person
190,4,280.73,386.89,27.32,83.83,person
190,16,819.84,305.06,9.77,32.15,person
191,1,312.19,393.25,24.67,80.26,person
191,4,280.72,386.95,27.37,83.77,person
191,16,819.83,305.05,9.77,32.16,person
192,1,312.62,392.91,24.61,80.72,person
192,4,280.8,387.05,27.37,83.58,person
192,16,819.85,305.1,9.75,32.1,person
193,1,312.84,392.78,24.48,80.89,person
193,4,280.81,387.07,27.41,83.52,person
193,16,819.85,305.12,9.75,32.07,person
194,1,312.89,392.79,24.21,80.38,person
194,4,280.79,386.98,27.51,83.65,person
194,16,819.84,305.11,9.75,32.11,person
195,1,312.92,392.8,24.05,80.17,person
195,4,280.75,386.97,27.58,83.66,person
195,16,819.84,305.11,9.76,32.12,person
196,1,313.1,392.52,24.01,80.61,person
196,4,280.73,386.89,27.67,83.75,person
196,16,819.83,305.13,9.74,32.1,person
197,1,313.79,392.98,23.78,80.3,person
197,4,280.66,386.88,27.7,83.72,person
197,16,819.84,305.12,9.74,32.09,person
198,1,314.27,393.3,23.56,80.06,person
198,4,280.56,386.85,27.72,83.74,person
198,16,819.85,305.13,9.73,32.05,person
199,1,314.48,393.41,23.41,79.97,person
199,4,280.51,386.84,27.74,83.75,person
199,16,819.85,305.14,9.72,32.04,person
200,1,314.7,393.35,23.33,80.22,person
